name,stars,no_of_ratings,price,discount,sleeve,fit,collar,brands
Tartan Checks Button-Down Collar Long Sleeves Slim Fit Cotton Casual Shirt,3.9,61,479,(80% OFF),Long Sleeves,Slim Fit,Button-Down Collar,HIGHLANDER
Black Classic Floral Printed Spread Collar Casual Shirt,3.8,361,664,(65% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Black & Maroon Regular Fit Checked Casual Shirt,4.2,705,519,(60% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Relaxed Fit Pure Cotton Casual Shirt,4.1,33,727,(72% OFF),Long Sleeves,Relaxed Fit,Spread Collar,SNITCH
Men Solid Opaque Casual Shirt,4,216,594,(65% OFF),Long Sleeves,Regular Fit,Button-Down Collar,ROADSTER
Men Blue Solid Washed Cotton Denim Shirt,4.1,5300,611,(64% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Tartan Checks Printed Cotton Slim Fit Casual Shirt,3.7,691,671,(72% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Multicoloured Slim Fit Opaque Checked Casual Shirt,4,1300,599,(70% OFF),Short Sleeves,Slim Fit,Cuban Collar,METRONAUT
Men Standard Corduroy Cotton Shirt,4.4,707,1099,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,PEPE JEANS
Men Checked Cotton Slim Fit Casual Shirt,4.1,3,482,(77% OFF),Long Sleeves,Slim Fit,Button-Down Collar,ROADSTER
Men Olive Green Cotton Casual Shirt,4.3,29200,599,(50% OFF),Long Sleeves,Regular Fit,Mandarin Collar,HIGHLANDER
Men Olive Green Solid Pure Cotton Casual Shirt,4,681,696,(59% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Navy Blue Solid Regular Fit Casual Shirt,4.3,2,649,(50% OFF),Long Sleeves,Regular Fit,Mandarin Collar,ROADSTER
Highlander White Slim Fit Casual Shirt,4.1,74200,399,(60% OFF),Long Sleeves,Slim Fit,Spread Collar,MAST & HARBOUR
Slim Fit Long Sleeves Spread Collar Casual Shirt,4.1,286,639,(68% OFF),Long Sleeves,Slim Fit,Spread Collar,CAMPUS SUTRA
Men Black Slim Fit Windowpane Checks Checked Casual Shirt,4.2,2,575,(64% OFF),Long Sleeves,Slim Fit,Spread Collar,MAST & HARBOUR
Men White Slim Fit Casual Shirt,4.1,107200,647,(65% OFF),Long Sleeves,Slim Fit,Spread Collar,R.CODE BY THE ROADSTER LIFE CO.
Men Standard Pure Cotton Corduroy Casual Shirt,4.2,32,1099,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Blue Pure Cotton Checked Casual Shirt,3.8,621,619,(69% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Floral Printed Cotton Casual Shirt,4.4,607,671,(68% OFF),Short Sleeves,Regular Fit,Spread Collar,ROADSTER
Men Grey Casual Shirt,4.1,8300,662,(61% OFF),Long Sleeves,Regular Fit,Spread Collar,HERE&NOW
Men Peach-Coloured Comfort Cotton Casual Shirt,4.1,30,402,(77% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Street Cool Textured Shirt,3.7,12,605,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,METRONAUT
Men Micro Ditsy Ethnic Printed Casual Shirt,4.1,114,307,(78% OFF),Long Sleeves,Regular Fit,Spread Collar,POWERLOOK
Men Blue Regular Fit Solid Chambray Casual Shirt,4.1,4100,637,(71% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Black Slim Fit Casual Shirt,4.1,107200,684,(63% OFF),Long Sleeves,Slim Fit,Spread Collar,THE INDIAN GARAGE CO
Men Striped Casual Shirt,4.3,38700,639,(68% OFF),Long Sleeves,Regular Fit,Button-Down Collar,SNITCH
Men Olive Green & White Slim Fit Printed Casual Shirt,4.1,447,349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Green Slim Fit Tartan Checks Casual Shirt,4.3,120,671,(68% OFF),Long Sleeves,Slim Fit,Spread Collar,SNITCH
Men Navy Blue Slim Fit Printed Casual Shirt,4.2,2400,599,(70% OFF),Short Sleeves,Slim Fit,Spread Collar,ROADSTER
Cotton Mandarin Collar Casual Shirt,4.2,274,664,(65% OFF),Long Sleeves,Regular Fit,Mandarin Collar,ROADSTER
Men Classic Slim Fit Opaque Casual Shirt,4.1,1,669,(50% OFF),Long Sleeves,Slim Fit,Cutaway Collar,SNITCH
Slim Fit Spread Collar Casual Shirt,3.7,2600,514,(50% OFF),Long Sleeves,Slim Fit,Spread Collar,ROADSTER
Men Navy Blue & Orange Checked Casual Shirt,4.1,13600,559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
The Life Co. Drop Shoulder Sleeves Relaxed Fit Pure Cotton Casual Shirt,4.8,13,674,(73% OFF),Long Sleeves,Relaxed Fit,Spread Collar,SNITCH
Slim Fit Checked Casual Shirt,3.7,231,321,(77% OFF),Long Sleeves,Slim Fit,Spread Collar,THE INDIAN GARAGE CO
Men Comfort Cotton Casual Shirt,4.1,30,559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar,HERE&NOW
Men Navy Blue Cotton Casual Shirt,4.2,5600,599,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,VASTRADO
