,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
179,Men Maroon & Black Checked Casual Shirt,4.3,14.4k Ratings,â‚¹674,(55% OFF),Long Sleeves,Regular Fit,Mandarin Collar
180,Men Navy Blue Pure Cotton Solid Classic Casual Shirt,4.3,837 Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Mandarin Collar
181,Men Slim Fit Double Flap Pocket Casual Shirt,4.1,1.3k Ratings,â‚¹610,(67% OFF),Long Sleeves,Slim Fit,Cutaway Collar
182,Men Slim Fit Opaque Striped Casual Shirt,3.8,5 Ratings,â‚¹629,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
183,Men Pinstripes Cotton Casual Shirt,4.3,1.7k Ratings,â‚¹639,(68% OFF),Long Sleeves,Regular Fit,Button-Down Collar
184,Men White Slim Fit Casual Shirt,4.2,3.4k Ratings,â‚¹439,(78% OFF),Long Sleeves,Slim Fit,Mandarin Collar
185,Men Navy Blue Slim Fit Casual Shirt,4.3,9.7k Ratings,â‚¹689,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
186,Slim Fit Checked Cotton Mandarin Collar Casual Shirt,4,546 Ratings,â‚¹659,(67% OFF),Long Sleeves,Slim Fit,Mandarin Collar
187,Men Blue Pure Cotton Slim Fit Multi Stripes Striped Casual Shirt,4.1,3.5k Ratings,â‚¹559,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
188,Men White Printed Pure Cotton Sustainable Casual Shirt,4.1,520 Ratings,â‚¹721,(62% OFF),Long Sleeves,Regular Fit,Spread Collar
189,Men Navy Blue & Maroon Cotton Tartan Checks Opaque Checked Sustainable Casual Shirt,4.2,505 Ratings,â‚¹675,(48% OFF),Long Sleeves,Regular Fit,Mandarin Collar
190,Regular Fit Shirt,4.3,154 Ratings,â‚¹431,(76% OFF),Long Sleeves,Slim Fit,Spread Collar
191,Men Blue Checked Casual Shirt,4.3,952 Ratings,â‚¹679,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
192,Self Design Corduroy Weave Oversized Casual Shirt,4.1,172 Ratings,â‚¹599,(75% OFF),Short Sleeves,Oversized,Cuban Collar
193,Men Navy Blue & White Slim Fit Printed Casual Shirt,4.3,2.9k Ratings,â‚¹419,(80% OFF),Long Sleeves,Slim Fit,Mandarin Collar
194,Highlander Men Dusty Slim Fit Solid Casual Shirt,3.8,232 Ratings,â‚¹402,(77% OFF),Long Sleeves,Slim Fit,Cutaway Collar
195,Slim Fit Floral Opaque Printed Casual Shirt,4.2,985 Ratings,â‚¹655,(59% OFF),Short Sleeves,Slim Fit,Cuban Collar
